DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
27,0.526315789,10,27,17,589,18,17,3,2,17,409,7,7,3.5924,2,0.0204,0.5,0,0,0,-5,1099,3,5,990,1662,58,30,36,24,10,28,0.999998,0.511611924,2.503790683
47,0.175438596,10,27,6,589,16,12,8,2,12,710,10,4,4.4956,10,0.1667,0.3333,0,0,0,-17,407,3,5,896,137,4,0,5,40,23,30,0.999853,0.286670492,2.340444115
239,0.263157895,10,27,19,589,18,16,4,2,16,365,5,2,3.2618,0,0,0,0,0,0,-4,1383,3,5,435,1263,42,29,40,13,15,15,0.997388,0.399962678,1.908485019
78,0.131578947,10,18,8,572,20,14,6,2,14,252,4,13,3.0746,1,0,0,0,0,0,-231,575,1,4,632,351,3,11,5,3,24,10,0.999999,0.65882918,2.037426498
170,0.050125313,10,24,5,589,16,14,6,2,14,266,7,95,3.0753,4,0.0364,0.5,0,0,0,-90,471,7,4,75,1038,26,42,46,4,19,7,0.993785,0.7598664,1.672097858
742,0.058479532,10,27,16,572,20,20,0,1,20,332,11,5,3.292,3,0.3333,0.6667,0,0,0,-7,302,3,5,447,137,1,2,2,12,9,15,0.999998,0.497478693,1.72427587
88,0.08097166,10,26,22,235,19,18,2,2,18,413,5,23,3.5177,2,0.1667,0.5,0,1,0,-25,2,2,5,334,147,12,2,6,24,21,16,1.22E-09,0.72663365,1.653212514
65,0.052631579,10,27,19,235,18,14,6,2,14,487,1,5,3.648,8,0.2308,0.5,0,0,0,-4,1223,3,5,351,106,0,3,2,14,29,9,1,0.64765399,1.886490725
64,0.058479532,10,28,3,235,10,11,9,2,11,1143,11,11,5.3289,9,0.1818,0.5,0,0,0,3,279,4,5,233,127,2,6,6,36,64,22,0.517821,0.604396806,2.255272505
106,0.210526316,10,27,23,235,14,15,5,2,15,401,5,1,3.409,2,0,0,0,0,0,1,95,3,5,813,453,13,15,12,29,8,26,0.0033083,0.082236702,2.053078443
