DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
41,0.210526316,10,27,10,152,17,15,5,2,15,630,29,2,3.9763,6,0.125,0.8,0,0,0,-13,664,3,5,147,717,25,36,21,25,35,15,0.994391,0.712794544,2.409933123
78,0.087719298,10,29,14,152,16,11,9,3,11,320,21,5,3.2872,2,0.0074,0.5,1,0,0,-4,932,5,5,1,742,9,16,9,5,11,9,1,0.728687044,1.51851394
65,0.116959064,10,27,11,255,17,15,5,2,15,644,25,16,4.124,4,0.0909,0.25,0,0,0,-55,773,3,5,106,875,21,24,18,19,21,9,1,0.38950667,1.963787827
200,0.175438596,10,29,12,351,15,11,9,3,11,706,30,1,4.1137,6,0.125,0.6,0,0,0,14,930,5,5,59,708,28,38,12,22,21,21,0.177863,0.393103941,2.540329475
19,0.131578947,10,29,6,351,19,14,6,4,14,628,19,2,3.8738,4,0.025,0.25,0,0,0,-40,379,5,5,6,1047,39,19,46,25,16,27,0.803922,0.323032835,2.645422269
46,0.131578947,10,29,0,351,19,15,5,2,15,626,17,13,4.0281,16,0.1351,0.4167,0,0,0,-46,74,5,5,49,821,18,35,18,26,26,13,0.999755,0.459225405,2.931457871
58,0.175438596,10,30,17,351,12,14,6,4,14,473,25,4,3.6522,5,0.0488,0.4,0,0,0,-5,1098,6,5,36,838,39,23,23,20,20,11,8.54E-06,0.101980106,2.056904851
30,0.04048583,10,27,16,351,14,9,11,3,9,495,17,0,3.6731,4,0.04,0.25,0,0,0,-78,1005,3,5,172,542,16,19,23,29,18,27,3.82E-08,0.394876946,2.84509804
63,0.043859649,11,1,20,465,14,10,10,2,10,734,20,9,4.3719,7,0.0625,0.4,1,0,0,-80,1293,1,1,96,791,22,24,13,12,38,20,0.0484145,0.414271688,1.986771734
7,0.350877193,10,29,16,465,11,10,10,3,10,803,27,2,4.1343,1,0.0196,1,0,0,0,-157,967,5,5,117,1095,33,31,29,39,26,24,7.93E-06,0.289359924,2.139879086
26,0.105263158,11,3,14,132,13,14,6,2,14,404,9,3,3.6048,6,0,0,0,0,0,-29,884,3,1,1,163,6,1,1,18,13,20,0.682942,0.54608024,2.056904851
62,0.065789474,11,10,11,152,16,10,10,3,10,325,16,4,3.1403,1,0,0,0,0,0,4,761,3,2,1,480,3,10,6,8,15,8,0.00164359,0.469886556,2.63748973
78,0.263157895,11,10,10,152,10,8,12,3,8,753,37,18,4.0096,8,0.04,0.25,0,0,0,-8,726,3,2,110,1010,39,20,30,28,18,13,4.89E-10,0.293530308,2.206825876
141,0.061919505,11,11,1,152,15,12,8,3,12,641,25,1,3.8512,10,0.0816,0.5,0,0,0,6,207,4,2,172,936,24,47,31,14,30,19,0.028959,0.489110032,2.269512944
29,0.210526316,11,5,6,465,14,14,6,2,14,466,6,14,3.6077,3,0.0488,0.6667,0,0,0,-221,389,5,1,6,992,37,23,30,30,14,15,4.60E-06,0.378025479,2.748188027
41,0.011318619,11,13,14,465,13,12,8,3,12,917,31,6,4.5099,4,0.1333,0.6667,1,0,0,-20,926,6,2,1,287,4,12,4,29,40,30,0.999346,0.582212036,1.544068044
52,1.052631579,11,17,9,239,8,5,15,5,6,399,23,0,3.5293,4,0.0645,0.5,0,0,0,-100,636,3,3,165,709,40,13,32,8,7,13,0.995584,0.57789384,2.563481085
53,1.052631579,11,17,11,152,10,11,9,3,11,635,28,2,3.8295,15,0.0769,0.2,0,0,0,-99,718,3,3,179,512,23,11,10,42,14,29,0.224651,0.589972219,3.832572775
43,1.052631579,11,17,15,87,14,10,10,4,10,347,28,0,3.2829,3,0,0,0,0,0,-94,961,3,3,103,1314,59,48,78,11,16,24,0.0731048,0.288827847,2.336459734
120,0.131578947,11,18,12,132,13,14,6,2,14,382,17,9,3.1355,13,0.0882,0.25,0,0,0,-73,880,4,3,83,1066,45,43,32,12,12,9,0.999999,0.481742352,1.643452676
103,0.350877193,11,19,11,87,18,14,6,3,14,316,9,7,3.1029,5,0.0444,0.8,0,0,0,-50,793,5,3,29,1909,69,51,62,20,4,11,1.35E-06,0.437601172,2.641474111
117,0.263157895,11,20,9,152,16,12,8,3,12,456,18,4,3.5502,2,0,0,0,0,0,-29,663,6,3,61,1153,39,20,22,21,9,18,0.235355,0.8639472,2.903632516
49,1.052631579,11,22,16,152,13,16,4,2,16,399,15,2,3.4804,4,0.04,0.6667,0,0,0,-43,1043,1,4,1,800,37,20,24,18,8,19,0.873635,0.377187561,3.032215703
83,0.175438596,11,23,10,152,15,7,13,3,7,462,28,7,3.6882,5,0.1304,0.75,0,0,0,-25,716,2,4,78,521,21,13,7,21,14,26,1,0.389139688,1.612783857
137,0.175438596,11,24,7,152,11,7,13,5,7,658,34,3,3.9634,3,0,0,0,0,0,-4,587,3,4,1,324,6,2,5,25,21,13,0.636015,0.280696424,1.740362689
53,1.052631579,11,24,8,58,9,9,11,6,9,499,14,2,3.9648,27,0.1923,0.5,0,0,0,-3,588,3,4,1,245,3,7,4,6,17,8,0.999858,0.535238042,2.665580991
320,0.526315789,11,24,12,152,15,12,8,3,12,351,24,2,3.2649,3,0.0244,0.5,0,0,0,0,1065,3,4,1,773,20,12,15,13,8,14,0.999295,0.500082186,2.571708832
30,0.131578947,11,25,8,152,15,12,8,2,12,461,23,6,3.3973,2,0.0588,0.5,0,0,0,-38,534,4,4,1,272,6,7,5,22,8,10,0.996941,0.397998352,1.556302501
79,0.210526316,11,24,13,591,14,11,9,4,11,679,36,0,4.217,24,0.3125,0.7143,1,0,0,-56,897,3,4,1,581,25,9,20,31,12,30,2.63E-06,0.519357401,1.633468456
49,0.00427899,11,25,11,516,14,11,9,3,11,471,11,6,3.4823,6,0,0,0,0,0,-34,758,4,4,1,340,2,4,6,14,17,15,1,0.526227475,1.322219295
62,0.175438596,11,27,8,516,17,11,9,3,11,584,27,3,3.9663,13,0.25,0.6667,0,0,0,9,564,6,4,1,283,8,4,11,11,17,12,0.375224,0.390982155,2.485721426
303,0.061919505,12,1,12,415,15,10,10,3,10,477,26,1,3.5273,10,0.125,0.1,0,0,0,-9,1023,3,1,134,572,6,16,10,16,13,11,0.336281,0.542131269,1.991226076
76,0.116959064,12,1,11,415,15,13,7,2,13,979,41,6,4.3286,0,0,0,0,0,0,-9,766,3,1,30,1074,31,27,28,39,23,19,0.999998,0.544426446,1.477121255
135,0.022396417,12,1,19,415,17,14,6,2,14,692,41,4,3.9999,8,0.0952,0.2857,0,0,0,-1,1285,3,1,1,322,15,5,8,13,21,32,0.969822,0.298886129,1.342422681
68,0.175438596,12,1,11,204,16,14,6,3,14,543,16,0,3.6897,12,0.129,0.4,0,0,0,-9,735,3,1,1,699,10,24,16,29,13,18,0.99999,0.342797232,4.070924031
123,0.263157895,12,2,11,204,9,8,12,7,8,741,15,0,4.2365,17,0.2857,0.6667,0,0,0,-22,790,4,1,134,638,16,5,30,16,7,32,0.72421,0.111765567,2
47,0.263157895,12,3,6,204,11,10,10,4,10,467,18,3,3.767,5,0,0,0,0,0,-33,407,5,1,85,766,47,25,41,13,32,17,1,0.222506622,2.555094449
41,0.350877193,12,3,14,415,15,14,6,2,14,852,31,9,4.3873,17,0.1905,0.3077,0,0,0,-25,912,5,1,1,748,22,48,23,28,44,24,0.999998,0.422734465,3.857754522
40,0.023391813,12,4,18,86,16,19,1,2,19,318,10,9,3.2237,7,0.1538,0.4,0,0,0,2,1122,6,1,1,229,14,7,10,8,15,16,0.0471347,0.445830367,2.334453751
97,1.052631579,12,4,16,272,16,15,5,3,15,387,12,8,3.2435,4,0.0392,0.5,0,0,0,1,1063,6,1,3,1275,29,21,65,12,14,23,0.999993,0.632053427,3.549738731
203,1.052631579,12,6,10,86,17,14,6,3,14,601,36,7,3.9885,4,0,0,0,0,0,42,805,1,2,1,292,20,5,9,21,17,21,0.112419,0.548205053,2.924795996
44,0.105263158,12,7,9,86,18,16,4,3,16,526,27,57,3.8091,10,0.0638,0.4286,0,0,0,-52,633,2,2,1,1141,41,16,24,28,13,12,1,0.362486231,1.740362689
64,0.175438596,12,8,19,65,15,13,7,4,13,419,21,12,3.3073,7,0.0294,0.1667,0,0,0,-36,1258,3,2,26,624,14,16,10,14,15,15,0.98053,0.321285403,2.214843848
25,1.052631579,12,11,11,65,12,10,10,6,10,786,15,20,4.5118,5,0.1333,0.4,0,0,0,-71,688,6,2,1,331,10,14,6,13,43,18,0.181996,0.66285256,3.641573253
293,0.210526316,12,30,9,152,14,13,7,4,13,299,19,3,3.0904,4,0.0455,0.3333,0,0,0,-157,887,4,5,1,513,14,6,11,4,12,10,0.940328,0.710860997,2.06069784
46,0.350877193,1,5,5,152,10,11,9,3,11,377,17,14,3.3556,8,0.0714,0.3333,1,0,0,-4542,346,3,2,72,661,27,18,22,10,21,8,0.000617943,0.493707365,2.775974331
211,0.526315789,1,3,21,86,14,13,7,3,13,615,25,2,4.0817,1,0.0714,1,0,0,0,-50,32,1,2,1,351,17,4,12,16,29,16,0.000157836,0.59388459,3.151982395
95,1.052631579,1,4,12,152,13,11,9,3,11,340,19,2,3.317,6,0.1081,0.6667,0,0,0,-4558,856,2,2,1,782,24,32,19,18,19,13,0.97763,0.451406473,2.976349979
56,0.116959064,1,7,11,415,16,12,8,3,12,1334,38,1,4.8455,15,0.0746,0.625,1,0,0,20,766,5,2,99,1368,44,38,43,59,52,37,0.00408378,0.285134304,2
60,0.263157895,1,8,1,65,11,10,10,3,10,278,18,1,3.082,0,0,0,0,0,0,6,127,6,2,1,480,25,4,8,8,14,4,0.999998,0.432831907,3.14332713
37,0.105263158,1,8,17,65,14,7,13,5,7,262,10,4,3.0972,9,0.2083,0.625,0,0,0,49,1113,6,2,39,385,2,19,5,6,22,0,0.0185393,0.547399744,2.033423755
60,1.052631579,1,9,11,152,12,11,9,2,11,304,18,6,3.0434,2,0.0588,0.5,0,0,0,67,775,7,2,97,341,15,5,7,30,16,17,7.34E-08,0.193365936,2.582063363
162,0.15037594,1,8,14,86,15,17,3,2,17,708,38,10,4.0653,14,0.2,0.4286,0,0,0,46,1033,6,2,18,837,45,27,35,16,17,30,0.0047102,0.305209747,2.804820679
294,0.09569378,1,7,0,152,15,15,5,2,15,484,20,7,3.6028,15,0.1481,0.3077,0,0,0,-13,302,5,2,1,766,27,18,26,21,15,20,1,0.548752849,2.463892989
55,0.002419843,1,6,14,152,18,13,7,3,13,716,24,3,4.2107,16,0.0667,0.1,0,0,0,-1,943,4,2,136,212,4,5,3,22,21,14,0.0020571,0.614005978,1.361727836
38,1.052631579,1,7,16,152,16,16,4,2,16,407,21,9,3.4395,3,0.1111,0.3333,0,0,0,23,1012,5,2,1,184,2,10,1,13,18,21,0.974394,0.541946066,2.46834733
83,0.105263158,1,10,11,152,18,12,8,3,12,320,8,9,3.2497,5,0.0541,0.5,0,0,0,89,758,1,3,1,541,23,18,12,17,17,18,1,0.547720225,2.11058971
31,0.105263158,1,10,2,152,14,13,7,2,13,483,16,4,3.5935,12,0.075,0.375,0,0,0,57,205,1,3,1,976,36,24,35,10,9,8,1,0.582688925,2.597695186
46,0.350877193,1,9,2,152,17,14,6,4,14,472,17,2,3.695,4,0.0606,0.5,0,0,0,32,190,7,2,1,1058,36,24,27,20,16,18,0.999987,0.510138599,2.976349979
45,0.210526316,1,10,19,152,17,11,9,4,11,437,13,7,3.6635,8,0.1765,0.6,0,0,0,58,1219,1,3,113,245,2,4,2,10,21,12,0.00289392,0.5803932,2.037426498
60,1.052631579,1,12,22,86,13,13,7,4,13,466,16,6,3.7011,7,0.1034,0.75,0,0,0,1,1393,3,3,97,646,27,20,18,17,18,17,0.988639,0.246454719,3.442166086
82,0.350877193,1,11,13,86,12,8,12,5,8,971,62,3,4.7955,14,0.0952,0.25,0,0,0,-4390,865,2,3,1,245,3,11,6,26,42,29,0.994017,0.194180695,1.995635195
69,0.350877193,1,11,13,152,16,14,6,3,14,388,18,5,3.5015,0,0,0,0,0,0,3,855,2,3,1,490,13,17,10,5,20,13,0.601093,0.752964579,2.437750563
141,0.175438596,1,12,21,152,15,16,4,2,16,360,18,4,3.4392,5,0.0909,0.25,0,0,0,15,1402,3,3,1,257,14,8,10,26,18,10,0.012338,0.083092688,2.51851394
53,0.175438596,1,12,15,415,12,13,7,2,13,935,27,3,4.6638,10,0,0,1,0,0,10,1009,3,3,121,543,14,15,14,20,30,28,0.00156081,0.24181407,2.045322979
31,0.175438596,1,13,0,152,12,9,11,4,9,741,44,1,4.1095,17,0.1667,0.2308,0,0,0,18,32,4,3,101,848,27,25,20,25,30,21,0.999887,0.588564434,2.69019608
250,0.15037594,1,13,23,152,14,14,6,3,14,319,16,2,3.1223,5,0.0278,0.25,0,0,0,28,199,4,3,1,589,23,5,11,14,13,11,0.875401,0.266927647,2.631443769
28,0.350877193,1,14,11,152,19,15,5,2,15,351,23,15,3.2777,1,0,0,0,1,0,24,697,5,3,177,456,10,27,14,10,23,11,0.996878,0.49251568,1.954242509
179,0.07518797,1,14,21,65,15,12,8,3,12,401,16,2,3.4331,7,0.1304,0.4286,0,0,0,22,159,5,3,1,478,18,15,8,18,9,11,6.11E-07,0.229971592,2.330413773
34,0.087719298,1,18,2,152,17,16,4,2,16,466,26,4,3.5615,1,0,0,0,0,0,6,154,2,4,1,511,9,14,8,15,20,17,0.415228,0.747696249,2.281033367
392,0.526315789,1,17,21,65,13,9,11,3,10,385,12,3,3.3019,6,0.1852,0.8333,0,0,0,134,213,1,4,1,479,17,7,12,14,13,13,0.999995,0.507423691,2.549003262
104,0.025062657,1,14,17,152,20,9,11,3,9,705,23,4,3.9758,1,0.027,1,0,0,0,69,1181,5,3,78,674,5,20,8,19,20,17,0.998326,0.367635712,2.071882007
76,0.116959064,1,18,0,180,7,6,14,6,6,968,9,2,4.9407,6,0.0312,0.1667,0,0,0,151,118,2,4,89,784,18,34,22,16,15,9,3.70E-05,0.342763583,2.727541257
28,0.526315789,1,17,10,65,16,14,6,3,14,372,16,5,3.3949,3,0.0488,1,0,0,0,124,653,1,4,1,707,18,26,18,13,9,16,0.001741,0.462645097,3.713658516
87,0.065789474,1,18,0,152,13,12,8,3,12,527,28,5,3.6527,18,0.0816,0.2667,0,0,0,151,92,2,4,14,960,30,25,28,16,19,13,0.0465696,0.500311665,2.130333768
42,0.526315789,1,17,4,416,14,9,11,4,9,346,14,2,3.1471,3,0.0222,0.5,0,0,0,117,294,1,4,1,854,18,18,10,7,12,9,0.999998,0.341507477,2.08278537
159,0.007683442,1,16,17,416,18,14,6,3,14,600,30,1,4.0414,5,0.05,0.2,0,0,0,107,1215,7,3,182,259,5,13,3,17,25,29,0.999959,0.530208729,1.556302501
59,0.131578947,1,18,9,519,12,7,13,4,7,666,30,0,3.9824,3,0.25,1,0,0,0,157,653,2,4,1,495,3,17,8,34,29,12,1,0.6116755,1.806179974
26,0.263157895,1,18,10,519,19,17,3,2,17,449,19,5,3.6605,8,0.1852,0.7143,0,0,0,148,684,2,4,1,593,20,8,14,20,17,18,0.684164,0.301166869,2.883661435
252,0.526315789,1,18,7,519,14,10,10,3,10,440,45,4,3.5759,7,0.0714,0.25,0,0,0,145,703,2,4,1,115,1,3,0,18,9,14,0.555166,0.388266517,2.328379603
40,0.175438596,1,18,8,416,9,7,13,4,7,584,20,4,4.0826,7,0,0,0,0,0,183,541,2,4,1,0,0,0,0,18,25,13,0.614307,0.534775693,1.792391689
238,0.058479532,1,17,0,416,16,10,10,3,10,576,31,11,3.9457,11,0.1316,0.625,0,0,0,53,279,1,4,1,1102,22,32,36,27,19,20,0.999996,0.57716206,1.707570176
178,0.028449502,1,18,21,65,16,14,6,3,14,322,18,5,3.2716,2,0,0,0,0,0,25,1439,2,4,1,719,7,21,14,13,12,7,0.706519,0.669866066,1.643452676
72,0.021052632,1,19,14,416,18,18,2,2,18,390,20,6,3.4502,6,0.0732,0.5,0,0,0,176,965,3,4,1,775,16,16,16,5,14,8,0.000407525,0.59310268,1.602059991
71,0.070175439,1,20,9,180,14,10,10,4,10,424,28,2,3.5834,6,0.0667,0.4,0,0,0,195,651,4,4,1,617,8,18,10,19,9,9,1,0.724099167,1.544068044
230,0.263157895,1,21,16,425,18,17,3,2,17,360,17,4,3.2257,3,0.0286,0.3333,0,0,0,17,1197,5,4,107,567,22,11,12,16,11,12,1,0.39955462,1.908485019
46,0.116959064,1,21,9,425,13,12,8,2,12,362,12,3,3.2308,10,0.0217,0.1111,1,0,0,10,601,5,4,1,860,37,15,18,13,14,10,1,0.414011244,1.633468456
48,1.052631579,1,21,18,152,18,18,2,2,18,345,18,5,3.2831,3,0.0294,0.5,0,0,0,336,1130,5,4,1,719,41,26,20,18,6,14,8.74E-05,0.374123004,2.127104798
