DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
7,0.210526316,10,27,10,511,13,13,7,3,13,2051,16,5,5.3143,27,0.1224,0.3529,1,0,1,-13,647,3,5,1,869,42,12,32,77,51,57,0.999134,0.372012781,1.84509804
41,0.116959064,10,28,3,69,19,12,8,3,12,557,11,5,3.7424,1,0,0,0,0,0,4,279,4,5,1,803,22,11,24,26,23,23,1,0.506610897,1.86923172
7,0.350877193,10,26,16,69,13,9,11,8,9,1223,5,0,5.0369,10,0.1481,0.5714,0,0,1,-30,1023,2,5,81,865,39,18,18,56,21,38,0.999997,0.550060595,2.243038049
41,0.065789474,10,25,10,69,16,16,4,2,16,1498,9,6,5.1407,1,0,0,0,0,0,-83,671,1,5,388,1307,41,51,26,39,63,45,9.49E-05,0.481007981,1.84509804
64,0.105263158,10,28,3,69,17,9,11,4,9,692,9,4,4.0679,2,0,0,0,0,1,3,253,4,5,1,454,24,11,10,29,19,13,1.19E-07,0.289369801,2.068185862
8,0.350877193,10,27,17,69,17,13,7,2,13,758,9,1,4.3363,6,0.0606,0.5,1,0,1,-5,1082,3,5,151,890,27,29,32,29,31,27,0.000198963,0.412706468,2.089905111
2,0.526315789,10,27,20,69,10,11,9,5,11,645,4,1,3.9492,28,0.3056,0.5238,0,0,0,-25,1210,3,5,205,717,28,23,18,29,18,22,0.999306,0.54456924,2.320146286
18,0.131578947,10,27,0,152,16,13,7,3,13,1067,6,8,4.6029,6,0.1304,0.6,0,0,0,-23,46,3,5,1,597,21,16,7,60,20,24,6.22E-09,0.573495395,1.792391689
29,0.350877193,10,28,11,69,18,16,4,3,16,775,10,3,4.3668,7,0.1053,0.5,1,0,0,11,689,4,5,64,558,12,34,9,29,31,17,0.954428,0.474631088,2.550228353
4,1.052631579,10,27,19,69,12,12,8,3,12,480,4,9,3.5843,15,0.1818,0.4615,0,0,0,-26,1182,3,5,111,903,32,28,32,23,14,13,0.999978,0.502489525,2.754348336
15,0.350877193,10,26,0,69,10,6,14,6,6,449,5,1,3.4572,10,0.0652,0.3,0,0,0,-69,54,2,5,1,955,21,27,39,19,11,17,0.00206276,0.584556105,2.645422269
7,0.175438596,10,27,18,69,16,14,6,3,14,539,6,6,3.7766,10,0.1852,0.625,0,0,0,-27,1136,3,5,74,502,7,11,11,26,24,13,6.27E-06,0.534403911,1.892094603
13,0.09569378,10,28,2,69,16,13,7,3,13,758,9,0,4.2068,16,0.1818,0.2857,0,0,0,-19,136,4,5,481,803,36,22,33,39,19,24,0.00538605,0.669568436,1.792391689
71,0.210526316,10,28,8,69,18,12,8,3,12,701,14,2,4.0558,7,0.0952,1,0,0,0,-13,593,4,5,287,645,24,13,20,32,16,34,0.130631,0.405544873,2.195899652
96,0.526315789,10,22,13,69,16,9,11,3,9,607,8,1,4.0723,2,0.0625,0.5,0,0,0,-152,914,5,4,1,507,14,4,7,28,23,25,0.917761,0.269962983,1.995635195
44,0.526315789,10,29,12,152,17,17,3,2,17,689,10,0,4.1938,12,0.0566,0.3333,0,0,1,-6,815,5,5,515,1860,56,30,48,30,15,14,0.999994,0.541260576,3.162862993
12,0.131578947,10,29,5,32,14,14,6,3,14,845,9,0,4.3446,9,0.0811,0.6,0,0,0,-13,354,5,5,114,675,14,19,13,24,36,26,1,0.429902395,2.017033339
16,0.350877193,10,29,20,32,16,14,6,2,14,1056,12,6,4.7196,31,0.2927,0.6667,0,0,0,22,1225,5,5,481,1266,38,42,32,28,37,31,5.93E-07,0.316697388,1.934498451
10,0.526315789,10,29,18,31,16,11,9,3,11,750,7,0,4.1023,9,0.125,0.5,0,0,0,0,1109,5,5,405,724,12,15,16,31,19,23,1,0.351413077,2.551449998
19,0.175438596,10,29,18,31,16,14,6,3,14,1658,13,0,5.2727,17,0.2,0.1538,0,0,1,0,1154,5,5,146,579,18,12,11,55,50,44,0.000225586,0.359017983,2.184691431
11,1.052631579,10,29,16,32,16,12,8,2,12,851,2,4,4.1111,8,0.0769,0.3333,0,0,0,18,997,5,5,111,832,33,30,34,54,35,29,0.984051,0.432052558,2.123851641
17,0.350877193,10,27,11,31,16,14,6,2,14,2408,14,7,5.7596,18,0.1923,0.3333,1,1,0,-55,724,3,5,66,766,24,22,13,100,106,51,1,0.399155921,2.418301291
15,1.052631579,10,29,21,31,18,17,3,2,17,565,5,8,3.6711,17,0.0488,0.2,0,0,0,23,1277,5,5,227,741,14,31,15,22,22,12,0.953977,0.293422533,2.862131379
61,0.131578947,10,29,6,31,16,15,5,3,15,516,4,1,3.6359,7,0,0,0,0,0,-13,421,5,5,559,367,5,6,7,19,17,12,0.999999,0.701728639,2.021189299
19,0.526315789,10,29,15,31,13,11,9,3,11,1083,15,4,4.7063,27,0.2,0.4286,0,0,0,-4,919,5,5,270,740,15,17,21,30,27,34,1,0.679895598,2.729974286
13,0.350877193,10,29,19,221,18,16,4,3,16,457,5,3,3.4753,4,0,0,0,0,0,1,1200,5,5,1,681,3,11,7,12,20,17,0.997243,0.567090061,2.292256071
48,0.175438596,10,27,5,221,18,9,11,3,9,482,9,5,3.7769,1,0,0,0,0,0,-62,348,3,5,1,476,12,10,3,13,17,14,0.999998,0.683554431,1.991226076
39,0.175438596,10,30,13,571,18,18,2,2,18,313,8,4,3.083,4,0.0588,0.25,0,0,0,-9,836,6,5,1,416,5,6,5,7,9,5,1,0.614688277,1.806179974
6,0.210526316,10,28,21,221,15,11,9,3,11,696,11,2,4.1116,10,0.1071,0.375,0,0,1,-48,1308,4,5,316,544,50,14,20,68,23,30,0.999985,0.27776409,2.06069784
16,0.350877193,10,25,13,152,16,14,6,3,14,1137,1,5,4.4323,34,0.2308,0.5,0,0,1,-129,814,1,5,64,1267,19,29,25,50,42,32,1,0.383951144,2.491361694
8,0.131578947,10,31,3,422,15,10,10,3,10,407,11,13,3.4042,5,0.0833,0.4,0,0,1,4,218,7,5,1,457,14,10,9,20,24,11,0.990776,0.442809104,2.167317335
5,0.065789474,10,28,21,511,18,13,7,4,13,433,5,3,3.5838,4,0.0556,0.25,0,0,1,-48,1320,4,5,3,459,9,5,8,13,19,7,0.24094,0.666177148,1.903089987
7,0.526315789,10,28,15,422,17,16,4,2,16,923,10,4,4.471,4,0.0769,0.5,0,0,1,-55,925,4,5,11,797,38,19,23,47,24,34,0.999965,0.162393252,1.892094603
19,0.087719298,10,30,16,422,11,9,11,4,9,1008,5,3,4.4872,14,0.0588,0.1,0,0,1,-5,1031,6,5,103,484,21,12,14,32,30,15,1,0.638559985,1.838849091
12,0.526315789,10,30,20,136,17,15,5,3,15,541,2,2,3.7591,10,0.1714,0.6667,0,0,0,-1,1253,6,5,111,924,24,24,35,20,17,29,0.606834,0.349523755,2.523746467
12,0.350877193,10,29,10,422,18,15,5,3,15,860,7,0,4.2249,5,0.15,1,1,0,1,-35,665,5,5,14,766,43,13,30,38,23,19,0.0213717,0.631491215,2.1430148
