DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
215,0.022883295,10,27,3,152,19,14,6,2,14,2528,8,9,6.2717,1,0,0,0,0,0,-20,426,3,5,72,0,0,0,0,50,80,69,0.614307,0.37314592,1.591064607
81,0.058479532,10,24,0,152,20,18,2,2,18,992,2,18,4.4858,13,0,0,0,0,0,-95,98,7,4,71,0,0,0,0,38,34,41,0.614307,0.752363281,1.968482949
65,0.023391813,10,28,3,152,18,16,4,2,16,1306,8,4,4.978,9,0,0,0,0,1,3,260,4,5,449,0,0,0,0,54,59,41,0.614307,0.465708762,1.301029996
48,1.052631579,10,28,8,87,20,20,0,1,20,1783,12,8,5.5594,1,0,0,0,0,1,8,541,4,5,431,0,0,0,0,78,65,46,0.614307,0.431629303,2.697229343
93,0.263157895,10,28,8,591,19,20,0,1,20,916,1,7,4.3764,5,0,0,0,0,0,8,585,4,5,310,0,0,0,0,32,43,34,0.614307,0.65267432,2.025305865
98,0.032894737,10,27,22,152,19,19,1,2,19,1093,16,6,4.5679,3,0,0,0,0,1,-1,1418,3,5,80,0,0,0,0,30,67,24,0.614307,0.52042993,1.86332286
36,0.175438596,10,28,3,87,20,20,0,1,20,2238,14,2,5.6915,28,0,0,0,0,0,-18,237,4,5,441,0,0,0,0,88,70,71,0.614307,0.432011769,2.682145076
32,0.175438596,10,26,3,87,20,20,0,1,20,2265,11,12,5.3593,39,0,0,0,0,1,-66,232,2,5,81,0,0,0,0,112,86,68,0.614307,0.377838371,2.721810615
380,1.052631579,10,29,5,152,19,18,2,2,18,1193,8,0,4.8268,9,0,0,0,0,0,-14,680,5,5,178,0,0,0,0,48,43,44,0.614307,0.621983657,2.352182518
16,0.263157895,10,23,21,152,19,18,2,2,18,1829,15,6,5.0782,41,0,0,0,0,1,-120,1324,6,4,147,0,0,0,0,72,68,46,0.614307,0.542574694,2.703291378
13,0.526315789,10,29,7,152,20,19,1,2,19,1321,4,2,4.9853,10,0,0,0,0,0,-11,444,5,5,86,0,0,0,0,36,44,26,0.614307,0.553724788,2.792391689
27,0.210526316,10,29,13,132,18,14,6,2,14,1908,15,7,5.3091,17,0,0,0,0,1,15,840,5,5,208,0,0,0,0,55,68,64,0.614307,0.368033433,1.968482949
23,0.350877193,10,24,14,87,20,20,0,1,20,1875,15,3,5.2252,43,0,0,0,0,1,-103,893,7,4,292,0,0,0,0,87,45,59,0.614307,0.525660861,2.831869774
18,0.210526316,10,28,13,58,17,14,6,2,14,979,4,2,4.4558,9,0,0,0,0,0,-8,809,4,5,14,0,0,0,0,34,50,25,0.614307,0.480652522,1.653212514
30,0.210526316,10,27,15,245,20,17,3,2,17,1522,5,4,4.718,4,0,0,0,0,0,-79,963,3,5,436,0,0,0,0,56,44,43,0.614307,0.306883158,2.546542663
39,0.350877193,10,27,8,245,20,17,3,2,17,1658,11,1,5.1759,9,0,0,0,0,1,-86,519,3,5,313,0,0,0,0,55,45,41,0.614307,0.312993041,2.557507202
4,0.131578947,10,27,13,245,18,14,6,2,14,1150,10,6,4.9033,15,0,0,0,0,1,-81,821,3,5,320,0,0,0,0,32,44,21,0.614307,0.573795018,1.763427994
56,1.052631579,11,2,0,245,19,19,1,2,19,1932,11,14,5.8003,30,0,0,0,0,0,-26,91,2,1,71,0,0,0,0,63,85,45,0.614307,0.72011311,2.51851394
74,0.022883295,11,1,22,152,16,17,3,2,17,1388,8,3,4.9309,16,0,0,0,0,0,-13,1425,1,1,181,0,0,0,0,57,69,35,0.614307,0.323116093,1.806179974
24,0.020639835,10,30,13,152,18,15,5,2,15,839,4,5,4.3069,7,0,0,0,0,1,-86,838,6,5,460,0,0,0,0,17,41,9,0.614307,0.71031602,1.826074803
50,0.175438596,10,29,10,152,19,19,1,2,19,1826,12,13,5.9135,31,0,0,0,0,0,-113,665,5,5,310,0,0,0,0,41,99,60,0.614307,0.629635169,1.913813852
20,0.050125313,11,2,17,152,19,16,4,2,16,1311,5,4,4.976,24,0,0,0,0,0,-9,1085,2,1,460,0,0,0,0,58,74,32,0.614307,0.600200792,1.770852012
80,0.036297641,11,2,20,58,19,17,3,2,17,1566,12,10,5.2621,23,0,0,0,0,0,-6,1312,2,1,449,0,0,0,0,39,73,44,0.614307,0.473930353,1.875061263
64,0.526315789,11,3,3,87,20,20,0,1,20,1849,4,0,4.9492,13,0,0,0,0,1,-49,265,3,1,436,0,0,0,0,84,62,56,0.614307,0.518759265,2.995635195
36,1.052631579,11,3,20,239,17,12,8,2,12,919,3,0,4.4544,12,0,0,0,0,0,-32,1253,3,1,411,0,0,0,0,32,37,26,0.614307,0.606607923,2.872156273
16,0.105263158,11,4,14,239,19,13,7,2,13,1357,4,2,5.0629,12,0,0,0,0,1,-14,884,4,1,320,0,0,0,0,40,38,44,0.614307,0.490563755,2.120573931
