DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
4,0.105263158,10,23,17,38,17,13,7,3,13,1299,39,8,4.7877,50,0.3333,0.0968,0,0,0,-102,1040,6,4,645,129,4,3,6,71,43,54,0.999993,0.212758469,2.045322979
9,0.350877193,10,23,19,234,7,3,17,7,5,953,45,1,4.7593,4,0,0,0,0,0,-122,1195,6,4,765,115,0,3,0,24,36,28,0.999889,0.363342646,2.149219113
45,0.131578947,10,27,3,511,14,12,8,3,12,654,34,1,3.9978,19,0.2308,0.2308,0,0,0,-20,237,3,5,423,144,2,3,6,15,11,15,0.993631,0.595344497,2.600972896
94,0.015710919,10,26,12,511,16,10,10,4,10,1716,54,0,5.4258,13,0.0233,0.1111,0,0,0,-34,866,2,5,104,1149,22,35,24,45,46,43,0.999628,0.81077618,1.414973348
82,0.004806537,10,22,12,511,11,8,12,8,8,1107,46,1,4.7786,15,0.625,0.4167,0,0,0,-130,858,5,4,934,109,0,5,3,37,27,29,1,0.748057857,1.342422681
19,0.065789474,10,27,19,511,16,14,6,3,14,866,37,2,4.3506,11,0.3333,0.25,0,0,0,-4,1160,3,5,1,118,2,3,4,27,24,19,0.999998,0.514478795,2.012837225
36,0.030075188,10,27,20,152,20,11,9,3,11,1135,54,14,4.7719,12,0.1429,0.6,1,0,0,-3,1240,3,5,548,1191,18,52,23,25,44,31,1.44E-07,0.244806641,1.73239376
40,0.058479532,10,27,18,105,17,16,4,2,16,1680,66,12,5.0346,29,0.2727,0.1304,0,0,0,-5,1160,3,5,515,114,3,4,1,57,68,46,0.805385,0.418283325,1.986771734
48,0.04576659,10,26,17,234,8,5,15,6,5,1540,57,6,4.9777,47,0.625,0.1786,0,0,0,-52,1070,2,5,673,84,4,2,3,79,28,58,0.999987,0.228373903,1.491361694
60,0.350877193,10,27,18,234,17,17,3,3,17,1441,40,0,4.9024,21,0.3333,0.1538,0,0,1,-5,1157,3,5,302,135,2,6,2,45,55,36,0.634818,0.303036115,2.509202522
54,0.025062657,10,27,20,234,16,15,5,3,15,1088,38,10,4.5121,17,0.3333,0.2308,0,0,0,-25,1279,3,5,518,124,1,4,0,43,37,32,0.999028,0.588322624,1.380211242
36,0.043859649,10,27,14,234,15,13,7,4,13,770,42,6,4.2644,44,0.5,0.2778,0,0,0,-31,884,3,5,342,132,2,4,5,31,26,30,0.660226,0.353989245,1.612783857
75,0.023391813,10,25,19,105,18,16,4,2,16,1711,69,5,5.2755,29,0.3846,0.2632,0,0,0,-74,1252,1,5,517,123,2,6,2,72,41,45,0.995969,0.599910178,1.51851394
19,0.526315789,10,26,12,105,14,10,10,4,10,1061,36,0,4.7413,21,0.375,0.25,0,0,0,-57,765,2,5,414,119,3,5,0,38,50,27,0.237302,0.554940876,2.271841607
29,0.038986355,10,27,12,152,19,16,4,4,16,898,44,2,4.1389,19,0.25,0.0769,0,0,0,-33,752,3,5,41,120,7,1,4,39,26,36,0.985119,0.476641747,1.431363764
105,0.15037594,10,27,10,152,17,17,3,2,17,1199,45,7,4.9067,7,0.25,0.4,0,0,1,-35,735,3,5,816,115,1,5,1,26,44,34,0.000676455,0.162105409,1.491361694
127,0.008488964,10,28,19,105,18,11,9,5,11,1009,44,3,4.5286,3,0.25,1,0,0,1,-2,1270,4,5,61,136,0,3,2,12,56,13,0.999957,0.63558738,1.544068044
13,0.029239766,10,29,5,152,14,13,7,4,13,951,54,12,4.2935,10,0.3333,0.25,0,0,0,-13,343,5,5,557,145,1,6,5,22,42,39,0.999997,0.378740504,1.544068044
42,0.263157895,10,25,16,152,12,13,7,3,13,1259,26,3,4.8954,5,0,0,0,0,0,-77,1048,1,5,649,108,3,5,5,46,39,43,0.00147799,0.35176604,2.722633923
38,0.105263158,10,29,12,152,14,9,11,5,9,878,32,1,4.2913,39,0.375,0.12,0,0,1,15,816,5,5,719,118,4,6,2,41,10,23,0.993904,0.585018151,1.62324929
26,0.025673941,10,29,19,152,17,16,4,3,16,1477,49,0,4.9001,13,0.2857,0.1818,0,0,0,1,1191,5,5,1,118,4,4,2,50,54,29,1.24E-05,0.305929874,1.681241237
66,0.01814882,10,28,13,105,16,15,5,3,15,878,30,11,4.1534,4,0.027,0.25,0,0,0,-29,857,4,5,461,1236,17,61,17,19,40,13,1,0.613387518,1.851258349
2,0.350877193,10,29,19,105,16,17,3,2,17,1250,63,3,4.7764,13,0.625,0.4167,0,0,0,21,1158,5,5,854,137,7,5,7,59,58,35,0.999551,0.195490114,3.104145551
89,0.015948963,10,29,18,234,19,13,7,3,13,1073,43,2,4.283,8,0.1429,0.1667,0,0,0,0,1191,5,5,812,128,5,3,4,49,36,16,1.76E-05,0.795709087,1.491361694
53,0.15037594,10,29,18,234,18,16,4,3,16,506,22,1,3.7838,4,0.1429,0.5,0,0,0,21,1192,5,5,131,127,4,2,1,21,21,13,0.0826637,0.570122918,2.10720997
30,0.526315789,10,29,19,356,12,12,8,4,12,1307,39,6,5.0192,17,0.3333,0.2,0,0,0,21,1182,5,5,634,105,4,5,1,26,60,25,0.0244564,0.501249228,2.707570176
26,0.052631579,10,29,13,152,18,14,6,3,14,1080,30,8,4.5232,18,0.2222,0.2,0,0,0,-5,849,5,5,534,142,0,5,0,29,38,29,0.982732,0.335385989,1.579783597
42,0.065789474,10,28,18,152,17,14,6,3,14,1013,28,3,4.3897,21,0.4,0.2857,0,0,0,-51,1181,4,5,615,127,4,8,3,57,17,19,0.923303,0.362374718,2.096910013
48,0.042105263,10,29,19,152,18,16,4,3,16,1347,39,6,4.9495,16,0.2857,0.2,0,0,0,-27,1220,5,5,191,140,4,3,3,51,25,43,1,0.356152677,1.886490725
15,0.263157895,10,28,19,152,15,14,6,3,14,1346,48,1,4.8858,3,0,0,0,0,0,-50,1203,4,5,1049,122,3,4,8,35,61,71,0.0919193,0.15954976,2.936513742
29,0.116959064,10,30,7,152,14,10,10,3,10,699,35,7,4.1504,29,0.3333,0.1429,0,0,0,-15,471,6,5,1086,120,3,2,4,27,15,22,0.999158,0.68556384,1.544068044
11,0.210526316,10,27,18,152,17,15,5,3,15,1341,46,1,4.8694,4,0.2,0.25,0,0,0,-75,1149,3,5,1,122,5,4,3,44,39,33,2.02E-05,0.266821722,2.471291711
19,0.04576659,10,25,19,152,16,10,10,3,10,743,31,1,4.0133,16,0.0769,0.25,0,0,0,-123,1180,1,5,868,924,17,28,13,31,32,26,0.227356,0.275126558,1.995635195
48,0.04048583,11,1,5,152,13,12,8,2,12,930,34,0,4.4535,25,0.4286,0.2308,0,0,0,-30,351,1,1,343,120,3,4,2,42,37,22,0.0101914,0.194747447,1.748188027
41,1.052631579,11,2,19,152,15,15,5,3,15,842,20,0,4.1133,27,0.125,0.0625,0,0,0,-57,1202,2,1,1110,84,1,1,2,34,32,35,0.000305135,0.167654085,3.16879202
3,0.526315789,11,3,18,152,14,7,13,4,7,969,34,2,4.5177,7,0.1111,0.1429,0,0,1,-33,1127,3,1,838,131,5,3,2,38,17,22,0.213608,0.203564927,2.352182518
15,0.350877193,11,4,19,152,18,15,5,2,15,1700,28,2,5.1721,19,0.4444,0.3636,0,0,0,-8,1198,4,1,1,112,2,7,3,52,59,77,3.14E-08,0.168120776,2.843855423
5,0.023391813,11,4,19,152,16,14,6,3,14,773,34,2,4.2698,9,0.2857,0.4,0,0,1,-8,1179,4,1,362,123,2,2,0,13,32,18,0.0223612,0.314632442,1.556302501
25,0.526315789,11,4,19,152,16,17,3,2,17,1739,38,3,5.2733,12,0.25,0.2,0,0,0,-9,1188,4,1,296,143,4,11,2,51,84,38,0.999946,0.473718517,2.88592634
50,0.036297641,11,4,22,152,14,11,9,6,11,1192,69,19,4.592,15,0.1429,0.0909,0,0,0,-5,1404,4,1,84,114,0,5,2,39,35,34,4.42E-06,0.285950384,2.008600172
78,0.025062657,11,4,19,577,14,12,8,6,12,1016,37,3,4.5148,20,0.4,0.25,0,0,0,-66,1232,4,1,101,134,1,4,4,33,22,25,2.75E-06,0.672936462,1.505149978
45,0.012682308,11,4,20,577,18,13,7,4,13,1132,42,2,4.6272,21,0,0,0,0,0,-43,1271,4,1,38,122,3,3,5,38,31,31,2.74E-06,0.301857712,1.301029996
107,0.005185377,11,5,14,577,18,13,7,3,13,1166,58,5,4.8377,12,0.0741,0.1818,0,0,0,-25,951,5,1,553,634,31,21,16,34,58,28,0.999987,0.600614647,1.397940009
26,0.526315789,11,5,20,577,17,18,2,2,18,1012,36,1,4.5387,18,0.3,0.3333,0,0,0,-41,1239,5,1,133,126,5,2,3,53,36,39,7.80E-09,0.158312105,2.399673721
254,0.023923445,11,5,21,237,14,12,8,4,12,850,51,6,4.2101,6,0.2857,0.6667,1,0,0,-18,79,5,1,1001,118,1,11,2,26,42,23,1,0.694212921,1.397940009
38,0.210526316,11,5,19,148,18,13,7,6,13,807,42,0,4.1603,7,0.2222,0.2857,0,0,0,-42,1198,5,1,1,120,2,5,1,30,43,21,0.0128366,0.440898884,2.064457989
8,0.175438596,11,6,19,148,14,14,6,3,14,1435,37,10,4.8948,22,0.3333,0.1176,0,0,1,3,1151,6,1,1,124,7,2,3,69,43,54,0.996063,0.490116251,2.322219295
37,0.175438596,11,3,18,148,18,14,6,3,14,837,21,1,4.1631,13,0.25,0.1818,0,0,0,-68,1168,3,1,1,102,2,5,1,23,23,13,1.80E-05,0.31336113,2.117271296
9,1.052631579,11,6,21,205,12,9,11,4,9,576,19,3,3.8393,10,0.4,0.2222,0,0,1,-17,1273,6,1,914,124,5,4,3,33,19,27,0.999915,0.308162573,3.561697533
12,0.263157895,11,3,17,205,15,16,4,3,16,839,52,7,4.3918,4,0.2857,0.5,0,0,0,-69,1088,3,1,171,127,1,2,3,31,28,38,0.997446,0.34883196,1.944482672
17,0.033955857,11,7,0,148,17,11,9,4,11,671,19,6,3.7801,9,0.1429,0.1111,0,0,1,8,17,7,1,865,102,2,2,1,34,27,13,0.999997,0.391347062,1.812913357
19,1.052631579,11,6,18,414,15,16,4,2,16,1152,44,2,4.6294,12,0.6667,0.2222,0,0,0,3,1155,6,1,1,111,3,3,0,46,38,39,0.999999,0.427248421,2.955206538
43,0.005569479,11,3,12,237,16,14,6,3,14,1092,41,2,4.5642,11,0,0,0,0,0,-163,771,3,1,52,120,10,1,1,55,12,31,0.0125812,0.2675834,1.397940009
71,0.061919505,11,11,0,234,18,17,3,2,17,1274,48,0,4.6478,34,0.5,0.0476,0,0,0,4,72,4,2,481,73,1,1,1,38,65,32,0.987891,0.479698357,2.843855423
24,0.061919505,11,11,1,234,19,14,6,4,14,1007,37,2,4.4561,14,0.3333,0.0833,0,0,0,6,130,4,2,1,105,3,9,2,42,46,32,0.707589,0.296869599,2.836324116
40,0.116959064,11,14,6,152,19,13,7,2,13,991,34,3,4.4716,5,0.25,0.2,0,0,0,-4,417,7,2,602,113,7,2,0,47,29,40,0.999997,0.482508102,1.86332286
29,0.012383901,11,14,14,152,18,13,7,4,13,617,32,4,3.9421,1,0,0,0,0,0,-44,891,7,2,22,235,14,0,3,39,18,29,1,0.373635997,1.361727836
28,0.07518797,11,14,15,237,17,17,3,2,17,1663,116,11,4.8935,25,0,0,0,0,0,-43,956,7,2,239,94,3,1,2,88,44,63,0.989641,0.25750856,1.77815125
35,0.116959064,11,13,19,234,14,14,6,2,14,939,34,4,4.4873,8,0,0,0,0,1,-64,1181,6,2,1,110,2,5,3,25,41,33,0.000037656,0.053786276,2.178976947
88,0.023391813,11,11,17,234,16,12,8,4,12,1271,33,0,4.6848,36,0.4545,0.2273,0,0,0,-65,1147,4,2,383,115,8,4,3,56,38,43,0.684959,0.426458784,1.380211242
14,0.526315789,11,12,16,234,16,15,5,4,15,753,42,6,4.1223,2,0.1429,0.5,0,0,0,-56,980,5,2,734,119,2,2,0,35,36,17,0.999989,0.296428531,1.903089987
163,0.006620324,11,13,17,183,12,9,11,4,9,1240,63,3,4.6798,17,0.0833,0.0667,0,0,0,-17,1210,6,2,914,117,0,5,2,49,37,29,9.33E-05,0.357214397,1.301029996
78,0.105263158,11,14,9,183,18,15,5,2,15,1275,67,7,4.9393,10,0.0816,0.4,0,0,1,-49,640,7,2,67,1099,54,24,16,35,29,34,1,0.594362848,1.995635195
7,0.131578947,11,14,11,475,19,15,5,2,15,648,19,1,3.785,10,0,0,0,0,0,-47,711,7,2,1114,84,4,0,1,40,19,23,0.997936,0.394403643,2.348304863
46,0.038986355,11,14,17,152,11,7,13,4,7,1252,35,1,4.5414,36,0.2791,0.5455,0,0,0,6,1084,7,2,981,971,57,14,34,47,43,41,0.894452,0.510797161,1.491361694
49,0.019138756,11,13,20,152,18,16,4,2,16,1478,61,3,5.0673,28,0.5,0.1765,0,0,0,-14,1283,6,2,982,114,6,1,7,68,60,60,0.0270332,0.362937646,1.380211242
16,1.052631579,11,14,19,152,14,13,7,3,13,690,19,6,3.9214,14,0.25,0.0714,0,0,0,8,1185,7,2,452,70,7,1,2,29,22,13,0.99076,0.425637589,2.525044807
53,0.038986355,11,14,3,152,14,13,7,3,13,651,22,4,3.8579,4,0.0465,0.5,0,0,0,-7,279,7,2,673,1010,35,19,36,21,18,27,0.999998,0.36065519,1.681241237
479,0.526315789,11,15,1,148,14,17,3,3,17,1222,62,1,4.5886,20,0.0833,0.0556,0,0,1,14,1405,1,3,656,128,3,3,2,54,43,44,0.999955,0.612203201,2.556302501
15,0.350877193,11,11,18,148,16,17,3,2,17,1162,27,5,4.7029,20,0.6667,0.1667,0,0,1,-64,1149,4,2,296,87,0,2,2,32,61,29,0.993247,0.467956083,2.73479983
39,0.15037594,11,15,15,397,14,12,8,3,12,1386,35,1,4.8459,20,0.0741,0.2667,0,0,0,-20,949,1,3,1114,1093,37,13,32,53,33,61,1,0.158104108,1.792391689
29,0.019138756,11,15,13,397,15,14,6,2,14,1157,64,1,4.341,30,0.1167,0.2917,0,0,0,-21,838,1,3,70,1286,49,35,29,48,31,23,1,0.556729982,1.977723605
47,0.029239766,11,15,18,152,16,6,14,3,10,1038,71,3,4.5716,2,0,0,0,0,0,-16,1159,1,3,508,708,23,12,6,48,30,47,0.985826,0.574414437,1.568201724
15,0.105263158,11,15,19,152,18,12,8,2,12,559,10,3,3.7089,4,0.0328,0.5,1,0,0,-15,1195,1,3,1017,1700,68,31,43,24,26,22,0.999915,0.699022764,2.012837225
36,0.15037594,11,16,13,365,15,12,8,3,12,1104,42,0,4.5403,13,0.0385,0.3,0,0,1,2,853,2,3,172,1248,45,24,23,43,32,29,1,0.308438662,2.791690649
22,0.526315789,11,16,11,183,13,10,10,3,10,1106,36,1,4.7759,28,0,0,0,0,1,1,710,2,3,414,133,10,2,9,40,34,43,0.999672,0.288410426,2.178976947
10,0.350877193,11,16,19,183,15,16,4,2,16,1508,49,3,4.9087,17,0.3333,0.1818,0,0,1,-115,1160,2,3,147,141,2,1,3,41,28,37,1,0.296191248,2.745855195
160,0.055401662,11,16,3,183,18,18,2,2,18,1212,31,4,4.5024,7,0.5,0.1429,0,0,0,-130,358,2,3,401,114,0,2,3,44,28,40,1,0.532317664,1.681241237
63,0.263157895,11,17,18,82,14,17,3,2,17,1317,24,3,4.8972,88,0.8125,0.3939,0,0,1,-91,1180,3,3,404,140,6,4,4,49,38,51,0.999794,0.396785829,2.28780173
23,0.116959064,11,17,18,365,15,18,2,2,18,1184,26,3,4.6664,22,0.3333,0.1538,1,0,1,-91,1145,3,3,515,127,5,1,3,54,40,37,0.91768,0.410054377,2.553883027
12,0.350877193,11,18,19,336,14,13,7,2,13,1229,67,1,4.6278,10,0.4,0.25,0,0,0,-67,1158,4,3,296,118,2,5,4,57,57,46,0.99625,0.318316335,2.926856709
10,0.526315789,11,18,19,152,14,15,5,2,15,989,41,0,4.3856,21,0.3,0.2143,0,0,1,-66,1171,4,3,1,123,3,5,3,50,33,27,0.999988,0.8036521,2.778874472
60,0.263157895,11,17,18,219,14,11,9,3,11,1165,37,6,4.6014,17,0.3333,0.1818,0,0,0,-91,1174,3,3,1101,106,1,7,0,36,62,29,0.00169385,0.464356335,2.944482672
5,0.04784689,11,18,19,152,18,16,4,3,16,1024,27,1,4.5253,23,0.2222,0.1333,0,0,0,-67,1145,4,3,615,114,7,4,6,43,34,39,0.879339,0.263744911,1.963787827
86,0.087719298,11,19,4,365,16,16,4,3,16,1359,63,3,4.7761,35,0.3333,0.1765,0,0,1,-57,360,5,3,238,100,1,1,1,48,44,37,0.998823,0.640408509,1.556302501
31,0.175438596,11,18,23,365,14,13,7,3,13,767,35,7,4.1219,25,0.1458,0.3889,0,0,0,-62,2,4,3,307,1211,51,19,30,47,18,23,1,0.614662323,2.120573931
48,0.050125313,11,19,21,234,17,17,3,2,17,1828,71,7,5.4842,14,0.0698,0.2727,0,0,0,-40,1351,5,3,297,910,29,12,18,86,46,66,0.999479,0.57248017,1.991226076
7,0.105263158,11,19,19,234,16,17,3,3,17,1721,52,5,5.3138,13,0.1,0.1667,0,0,1,-43,1148,5,3,1,122,6,3,3,66,56,54,0.0300076,0.310395959,2.309630167
41,0.030075188,11,19,18,234,18,14,6,2,14,1408,70,5,4.8848,7,0.1111,0.8,0,0,0,-43,1158,5,3,1022,841,47,21,18,64,37,44,0.999998,0.492272194,2.025305865
15,0.007739938,11,20,15,531,15,12,8,3,12,1335,48,3,4.6272,12,0.2,0.0833,0,0,0,-22,952,6,3,828,121,7,1,4,52,32,43,0.755573,0.6449742,1.301029996
22,0.027700831,11,20,18,365,17,14,6,3,14,1141,21,3,4.5029,21,0.1667,0.1111,0,0,0,-19,1117,6,3,444,133,3,3,5,47,42,35,0.947196,0.234907632,2.093421685
173,0.116959064,11,21,4,152,12,10,10,6,10,1111,68,1,4.5947,33,0.1333,0.1,0,0,1,-9,435,7,3,793,245,12,3,5,54,44,39,1,0.626914395,1.982271233
