DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
246,0.023391813,10,27,22,511,15,7,13,3,10,1201,2,1,4.9073,17,0.1,0.625,0,0,0,-23,165,3,5,101,1563,53,19,37,55,37,42,0.953052,0.286463501,1.785329835
47,0.017841213,10,28,0,498,16,11,9,3,11,747,10,3,3.9807,12,0.2,0.4,0,0,0,1,81,4,5,469,594,22,15,9,33,34,23,0.477718,0.653044517,1.505149978
60,0.002860412,10,23,1,498,19,16,4,2,16,1841,14,3,5.3734,16,0.125,0.3,0,0,0,-118,123,6,4,378,822,27,15,17,66,45,48,0.999986,0.683588385,1.414973348
99,0.032894737,10,23,23,430,16,14,6,3,14,1399,14,2,5.0027,5,0,0,0,0,1,-96,68,6,4,469,561,25,8,11,47,40,31,0.00367157,0.270392164,1.982271233
49,0.210526316,10,27,14,152,18,17,3,2,17,1024,7,2,4.5046,6,0.125,0.75,0,0,0,-9,916,3,5,1302,502,4,28,8,35,55,28,1.53E-06,0.363608639,1.544068044
16,0.011441648,10,28,1,93,18,15,5,2,15,828,12,5,4.1643,3,0.1111,0.3333,0,0,1,1,77,4,5,68,902,32,28,18,51,24,24,0.000569381,0.432502248,1.397940009
3,0.263157895,10,29,2,267,16,14,6,3,14,658,3,3,3.9958,7,0.069,0.5,0,0,0,4,153,5,5,81,789,19,33,16,24,28,24,0.338244,0.369343333,1.908485019
4,1.052631579,10,23,16,446,11,12,8,3,12,474,2,9,3.6759,11,0.1429,0.5714,0,0,0,-124,1023,6,4,770,708,9,18,9,32,21,27,0.999879,0.418727192,2.5132176
36,0.087719298,10,29,1,511,12,12,8,3,12,809,7,1,4.201,8,0.0652,0.5,1,0,1,3,129,5,5,895,1353,26,31,25,17,30,29,0.998753,0.4678367,1.86332286
18,0.08097166,10,28,15,446,13,13,7,3,13,1956,18,5,5.6324,27,0.25,0.3125,0,0,0,-6,964,4,5,268,383,6,28,17,84,87,57,0.0860739,0.300815567,1.380211242
1,0.07518797,10,29,11,446,11,13,7,3,13,755,6,17,3.9814,7,0.0612,0.4286,0,0,0,13,661,5,5,1277,808,33,23,18,38,31,33,0.0022293,0.377818682,2.361727836
5,0.175438596,10,30,23,511,12,7,13,3,8,794,6,1,4.2337,10,0.1333,0.6667,0,0,0,1,2,6,5,1279,914,23,35,16,36,25,32,0.520231,0.310872595,2.100370545
4,1.052631579,10,31,0,254,13,12,8,3,12,538,0,4,3.8429,10,0.0172,0.125,0,0,0,1,35,7,5,1499,1935,36,58,47,24,24,16,0.948345,0.507368904,2.823474229
677,0.131578947,10,30,11,235,13,13,7,3,13,995,6,4,4.5985,11,0.1364,0.2727,0,0,0,-10,1392,6,5,706,821,24,25,14,32,26,24,4.13E-07,0.112040623,2.650307523
33,0.350877193,10,30,8,235,17,15,5,2,15,1227,13,10,4.8272,14,0.0606,0.5,1,0,0,-14,513,6,5,574,2195,91,53,67,71,25,52,0.0227061,0.307948587,3.121559844
696,0.350877193,10,30,10,235,19,15,5,2,15,527,3,2,3.69,3,0.0323,0.3333,0,0,1,-11,1334,6,5,1629,533,12,7,10,35,16,19,1.82E-08,0.31259563,1.785329835
30,0.032894737,10,30,21,511,18,12,8,2,12,783,5,5,4.0731,18,0.12,0.5455,0,0,0,-1,1302,6,5,1052,1850,51,28,43,29,14,29,0.00206118,0.383078663,2.068185862
77,0.058479532,11,1,15,267,16,15,5,3,15,411,10,10,3.4157,1,0.037,1,0,0,1,-22,991,1,1,1302,821,25,38,13,14,21,7,1.41E-08,0.427257501,1.748188027
739,0.175438596,11,1,14,446,18,13,7,3,13,715,6,6,4.1543,6,0,0,0,0,0,-85,179,1,1,397,142,0,3,0,17,13,31,0.01651,0.404785913,2.004321374
49,0.526315789,11,1,15,446,17,14,6,2,14,664,1,3,3.9252,7,0.0294,0.1429,0,0,0,-84,986,1,1,450,945,63,29,32,41,21,35,0.999999,0.57444419,2
722,0.350877193,10,30,13,446,14,11,9,3,11,997,9,1,4.6451,6,0.1034,0.75,0,0,0,-135,96,6,5,1429,788,25,22,20,54,36,32,5.87E-06,0.29708477,2.866287339
29,0.014035088,11,2,16,446,16,15,5,2,15,1235,7,2,4.7655,26,0.3333,0.5,0,0,0,-60,1019,2,1,706,809,21,16,33,36,41,47,0.00308095,0.159094799,1.380211242
768,0.005109862,11,1,15,133,18,13,7,1,13,460,4,2,3.5995,6,0.1538,0.4,0,0,0,-22,246,1,1,640,323,10,7,10,17,13,13,0.998697,0.56138159,1.380211242
104,0.030075188,10,30,17,133,12,12,8,3,12,1225,19,26,4.8357,11,0.0889,0.4444,1,0,1,-69,1141,6,5,1117,1254,32,57,21,40,34,38,1,0.380243818,1.568201724
70,0.014619883,11,2,15,446,16,13,7,3,13,1149,19,14,4.7328,5,0.0588,0.4,0,0,1,-60,1020,2,1,1302,1029,24,27,22,42,33,22,7.13E-05,0.532634143,1.414973348
22,0.08097166,11,2,20,446,17,15,5,2,15,797,5,5,4.2168,18,0.1786,0.3571,1,0,1,-56,1230,2,1,706,874,23,29,13,22,42,9,0.954671,0.214934077,1.612783857
60,0.020639835,11,2,23,446,19,18,2,2,18,667,12,13,4.0865,13,0.1,0.375,0,0,0,-53,7,2,1,468,688,25,28,7,35,23,21,9.63E-06,0.448906415,1.939519253
15,0.263157895,11,3,1,446,17,16,4,2,16,956,11,5,4.7678,3,0.0263,0.5,0,0,0,-51,78,3,1,1476,1001,22,28,17,23,25,29,1.42E-06,0.215279572,2.167317335
63,0.131578947,11,1,19,446,13,9,11,3,9,1061,9,1,4.7696,16,0.1739,0.3636,0,0,1,-80,1249,1,1,1216,475,9,14,10,51,36,34,1.00E-06,0.15190376,1.954242509
8,1.052631579,11,2,22,446,18,14,6,2,14,538,11,3,3.6693,7,0.0556,0.1667,0,0,0,-54,1339,2,1,329,792,16,30,29,19,14,18,0.999999,0.577100383,3.034227261
33,0.058479532,11,3,0,446,12,8,12,3,8,618,8,1,3.8042,5,0,0,0,0,0,-51,88,3,1,13,539,14,9,8,28,13,13,6.18E-06,0.382203422,1.755874856
40,0.350877193,11,3,1,446,16,16,4,2,16,932,3,4,4.551,19,0.1739,0.25,0,0,0,-50,124,3,1,254,913,28,19,26,42,43,39,0.0001178,0.306753009,2.909020854
32,0.014224751,11,3,15,446,19,18,2,2,18,674,8,19,3.969,0,0,0,0,0,1,-36,979,3,1,661,386,6,8,12,24,24,13,0.000506566,0.414673504,1.342422681
25,0.070175439,11,2,16,446,16,16,4,2,16,1219,11,18,4.601,30,0.1731,0.3913,0,0,0,-60,1006,2,1,4,2770,96,113,67,60,41,32,0.00179336,0.326790579,1.477121255
7,1.052631579,11,2,13,446,11,11,9,3,11,715,5,2,3.888,9,0.0345,0.25,0,0,1,-62,824,2,1,589,1527,24,54,36,44,24,25,0.999998,0.506167056,2.989894564
28,0.052631579,11,2,20,446,20,18,2,2,18,1101,11,4,4.8843,11,0.1,0.1818,0,0,0,-56,1249,2,1,268,1066,16,29,29,31,46,40,0.00079055,0.459010216,1.763427994
360,0.065789474,11,3,18,177,14,2,18,2,2,791,8,6,4.2185,5,0.0385,0.25,0,0,0,-25,20,3,1,1029,899,33,10,13,29,26,23,0.397212,0.266022775,1.748188027
43,0.210526316,11,4,1,446,13,10,10,3,10,705,5,5,4.1849,4,0.0588,0.25,0,0,0,-27,115,4,1,469,516,22,12,16,31,29,18,0.350811,0.418118686,2.45484486
10,0.022396417,11,3,23,446,17,2,18,1,2,1030,6,5,4.6289,14,0.2381,0.4545,0,0,1,-28,89,3,1,468,615,18,11,9,48,42,32,2.19E-06,0.343499817,1.491361694
18,0.210526316,11,4,16,446,11,11,9,3,11,609,3,0,3.8694,11,0.125,0.4444,1,0,1,-11,1034,4,1,268,1059,22,28,20,15,25,13,0.944672,0.430506906,1.579783597
18,0.105263158,11,3,16,446,14,16,4,2,16,734,10,23,3.9581,12,0.0588,0.2222,0,0,0,-35,1023,3,1,706,649,16,24,17,26,23,19,6.14E-05,0.209117043,1.653212514
37,0.526315789,11,4,3,446,14,11,9,3,11,712,6,8,4.2965,6,0.0909,0.8,0,0,1,-24,257,4,1,397,822,20,31,17,33,29,15,1.22E-05,0.479675592,2.551449998
34,0.028449502,11,2,11,446,13,9,11,3,9,725,3,5,4.0964,12,0.1224,0.75,0,0,1,-65,694,2,1,646,1493,52,52,38,22,30,13,0.999997,0.367917634,1.62324929
24,0.037593985,11,4,4,446,14,10,10,3,10,899,8,1,4.3604,4,0.0435,0.3333,0,0,0,-24,279,4,1,951,388,4,9,6,29,15,24,0.999961,0.492720783,1.568201724
17,0.263157895,11,4,15,446,11,18,2,2,18,831,18,5,4.1628,13,0.0909,0.5,0,0,1,-13,947,4,1,706,728,33,26,24,44,37,23,0.999999,0.107892594,1.491361694
69,0.019860973,11,3,16,446,16,10,10,3,10,1198,13,8,4.8288,10,0.0571,0.2,0,0,0,-35,1078,3,1,397,735,19,18,12,51,50,33,0.747207,0.16825834,1.361727836
742,1.052631579,11,4,6,446,14,13,7,3,13,812,1,3,4.2762,9,0.1163,0.625,0,0,0,-22,1111,4,1,1177,729,19,23,14,24,26,16,0.0119516,0.427825558,2.238046103
8,0.050125313,11,4,16,446,13,12,8,3,12,897,4,0,4.3068,5,0,0,1,0,1,-11,1005,4,1,1302,668,20,24,9,41,26,36,1.36E-06,0.372536907,1.342422681
32,0.09569378,11,4,13,446,16,12,8,3,12,791,7,2,4.1309,12,0.0667,0.2727,0,0,0,-15,817,4,1,81,1188,36,26,17,25,33,18,0.000119287,0.35359634,1.591064607
24,0.042105263,11,2,13,446,15,9,11,3,9,1153,7,1,4.843,7,0.0104,0.4,0,0,0,-63,820,2,1,648,3882,98,103,87,51,31,52,0.99921,0.309127249,1.447158031
42,0.028449502,11,3,12,446,18,13,7,3,13,1241,14,2,4.7656,7,0.0676,0.7143,0,1,1,-40,776,3,1,81,1815,33,42,41,42,29,37,0.987704,0.373294471,1.462397998
194,0.023923445,11,3,22,446,14,8,12,3,9,1311,6,1,4.9017,19,0.15,0.1875,0,0,1,-29,115,3,1,1,299,12,16,5,58,50,39,1.63E-05,0.108000001,1.785329835
